Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;0;_;0;0;2;6;0;1;0;0;17;0;0;0;none;none;none;none;none;none
0.0;0;1;0;0;3;9;0;1;0;0;17;0;0;0;none;none;none;none;none;none
0.0;3;1;0;0;1;45;0;2;4;0;18;3;4;31;none;none;none;none;none;none
0.0;1;1;0;0;1;10;0;1;1;0;12;0;1;0;none;none;none;none;none;none
0.0;1;1;0;0;1;88;0;4;9;0;21;1;9;70;none;none;none;none;none;none
0.0;1;_;0;0;1;3;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;2;2;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;3;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;1;0;0;1;34;0;2;1;0;12;0;1;0;none;none;none;none;none;none
0.0;0;1;0;0;1;7;0;1;1;0;12;0;1;0;none;none;none;none;none;none
0.0;0;1;0;0;1;5;0;1;1;0;12;0;1;0;none;none;none;none;none;none
0.0;0;1;0;0;1;5;0;1;1;0;12;0;1;0;none;none;none;none;none;none
0.0;0;1;0;0;1;13;0;3;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;1;0;0;1;5;0;1;1;0;12;0;1;0;none;none;none;none;none;none
0.0;0;1;0;0;1;6;0;1;1;0;12;0;1;0;none;none;none;none;none;none
0.0;0;_;0;0;1;2;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;1;0;0;1;5;0;1;1;0;12;0;1;_;none;none;none;none;none;none
0.0;0;1;0;0;1;86;0;4;6;0;17;0;6;0;none;none;none;none;none;none
0.0;0;_;0;0;1;5;0;2;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;3;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;1;2;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;6;1;0;0;1;456;0;1;32;0;49;5;32;14;none;none;none;none;none;none
0.0;1;1;0;0;0;107;0;4;10;0;11;1;10;0;none;none;none;none;none;none
0.0;0;1;0;0;1;5;0;1;1;0;12;0;1;0;none;none;none;none;none;none
0.0;1;1;0;0;1;20;0;1;5;0;16;0;5;0;none;none;none;none;none;none
0.0;0;1;0;0;1;5;0;1;1;0;12;0;1;0;none;none;none;none;none;none
0.0;0;1;0;0;2;5;0;1;1;0;15;0;1;_;none;none;none;none;none;none
0.0;0;_;0;0;1;25;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;0;1;0;0;1;14;0;1;3;0;14;0;3;_;none;none;none;none;none;none
0.0;0;_;0;0;1;2;0;1;0;0;11;0;0;_;none;none;none;none;none;none
0.0;0;1;0;0;1;10;0;2;0;0;11;0;0;_;none;none;none;none;none;none
0.0;0;1;0;0;1;8;0;1;2;0;13;0;2;_;none;none;none;none;none;none
0.0;0;1;0;0;1;17;0;3;1;0;12;0;1;_;none;none;none;none;none;none
0.0;0;1;0;0;1;12;0;2;1;0;12;0;1;_;none;none;none;none;none;none
0.0;0;1;0;0;1;6;0;1;1;0;12;0;1;_;none;none;none;none;none;none
0.0;0;1;0;0;1;5;0;1;1;0;12;0;1;_;none;none;none;none;none;none
0.0;0;1;0;0;1;8;0;1;2;0;13;0;2;_;none;none;none;none;none;none
0.0;0;_;0;0;1;2;0;1;0;0;11;0;0;_;none;none;none;none;none;none
0.0;0;1;0;0;1;11;0;2;0;0;11;0;0;_;none;none;none;none;none;none
0.0;0;1;0;0;1;9;0;1;2;0;13;0;2;_;none;none;none;none;none;none
0.0;0;_;0;0;1;6;0;1;0;0;11;0;0;_;none;none;none;none;none;none
