Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;1;1;4;0;6;18;0;1;4;0;212;0;100;100;none;none;none;none;none;none
0.0;1;1;4;0;6;18;0;1;4;0;212;0;100;100;none;none;none;none;none;none
0.0;1;1;20;0;6;66;0;1;20;0;244;0;100;100;none;none;none;none;none;none
0.0;1;1;8;0;6;30;0;1;8;0;220;0;100;100;none;none;none;none;none;none
0.0;1;1;6;0;6;24;0;1;6;0;216;0;100;100;none;none;none;none;none;none
0.0;1;1;6;0;6;24;0;1;6;0;216;0;100;100;none;none;none;none;none;none
0.0;1;1;12;0;6;42;0;1;12;0;228;0;100;100;none;none;none;none;none;none
0.0;1;1;6;0;6;24;0;1;6;0;216;0;100;100;none;none;none;none;none;none
0.0;1;1;10;0;6;36;0;1;10;0;224;0;100;100;none;none;none;none;none;none
0.0;1;1;8;0;6;30;0;1;8;0;220;0;100;100;none;none;none;none;none;none
0.0;1;1;4;0;6;18;0;1;4;0;212;0;100;100;none;none;none;none;none;none
0.0;1;1;6;0;6;24;0;1;6;0;216;0;100;100;none;none;none;none;none;none
0.0;1;1;6;0;6;24;0;1;6;0;216;0;100;100;none;none;none;none;none;none
2.0;7;1;4;0;3;17;0;1;4;0;49;1;100;75;none;none;none;none;none;none
2.0;12;1;38;1;1;165;3;1;38;0;86;1;92;91;none;none;none;none;none;none
7.0;13;19;32;10;2;562;0;1;44;0;212;5;138;91;none;none;none;Large Class;none;Shotgun Surgery
6.0;6;13;8;0;3;177;0;1;10;0;212;3;125;82;none;none;none;Large Class;none;none
7.0;10;11;5;1;2;354;0;1;15;0;99;5;300;100;none;none;none;Large Class;none;none
1.0;1;1;2;0;5;14;0;1;2;0;181;0;100;100;Refused Bequest;none;none;none;none;none
3.0;4;6;11;4;3;159;0;1;15;0;172;3;136;78;none;Feature Envy;none;none;none;none
1.0;1;2;4;8;2;32;0;1;6;0;140;0;150;79;none;Feature Envy;none;none;none;none
1.0;1;1;2;0;4;14;0;1;2;0;165;0;100;100;none;none;none;none;none;none
6.0;25;13;9;6;1;417;0;3;16;0;68;7;178;89;none;none;none;Large Class;none;none
0.0;1;1;0;0;1;6;0;1;0;0;11;0;0;0;none;none;none;none;none;none
0.0;1;1;0;0;1;6;0;1;0;0;11;0;0;0;none;none;none;none;none;none
9.0;52;25;73;22;4;1281;6;1;121;0;418;22;158;97;none;none;none;none;none;Shotgun Surgery
7.0;32;52;20;1;2;713;2;1;25;0;115;5;115;93;none;none;none;Large Class;none;Shotgun Surgery
1.0;3;1;13;7;1;43;4;1;8;6;31;0;31;81;none;none;Long Methodt;none;none;none
2.0;9;3;3;4;2;44;0;1;3;0;49;4;100;66;Refused Bequest;none;none;none;none;none
0.0;2;1;2;0;1;19;0;1;2;0;18;0;100;0;none;none;none;none;none;none
0.0;7;9;2;1;1;66;0;1;3;0;26;2;150;0;none;none;none;none;none;none
0.0;2;1;16;0;1;92;8;1;16;0;43;0;50;79;none;none;none;none;none;none
