Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;3;2;3;1;6;35;0;1;4;0;157;3;133;0;none;none;none;none;none;none
0.0;3;2;3;1;6;35;0;1;4;0;157;3;133;0;none;none;none;none;none;none
0.0;2;1;1;0;1;10;0;1;1;0;14;0;100;0;none;none;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;7;6;23;0;1;207;0;1;26;0;71;2;113;71;none;none;none;none;none;none
0.0;0;1;4;0;1;11;0;1;4;0;19;0;100;0;none;none;none;none;none;none
1.0;22;6;18;16;2;197;4;1;18;0;69;6;78;88;none;Feature Envy;none;none;none;none
0.0;11;1;67;131;0;80;0;1;67;0;67;0;100;0;none;Feature Envy;none;none;none;none
0.0;3;1;3;4;1;15;0;1;3;0;16;0;100;75;none;none;none;none;none;none
1.0;43;8;67;0;1;695;16;2;76;0;244;16;90;93;none;none;none;none;none;none
0.0;2;1;1;0;1;5;0;1;1;0;14;1;100;0;none;none;none;none;none;none
0.0;20;4;14;108;1;181;0;1;17;0;67;10;121;90;none;Feature Envy;none;none;none;none
0.0;0;1;5;5;0;7;0;1;5;0;5;0;100;0;none;none;none;none;none;none
4.0;16;3;73;20;1;577;4;1;79;0;151;8;103;87;none;none;none;none;none;none
0.0;2;1;8;7;0;12;0;1;8;0;8;0;100;0;none;Feature Envy;none;none;none;none
2.0;8;2;4;0;5;42;0;1;5;0;540;4;125;83;none;none;none;none;none;none
0.0;2;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;7;1;4;0;1;18;0;1;4;0;26;3;100;0;none;none;none;none;none;none
0.0;0;1;8;3;0;10;0;1;4;0;4;0;50;0;none;none;none;none;none;none
3.0;33;14;10;5;1;436;0;2;25;0;112;18;250;89;none;none;none;none;none;none
0.0;1;1;1;0;1;7;0;1;1;0;18;1;100;0;none;none;none;none;none;none
0.0;0;2;7;1;1;29;2;1;7;0;18;0;71;_;none;none;none;none;none;none
2.0;13;3;6;0;5;104;0;2;6;0;494;6;100;85;Refused Bequest;none;none;none;none;none
1.0;3;2;7;0;2;44;0;1;7;0;47;3;100;100;none;none;none;none;none;none
0.0;5;1;4;0;1;14;0;1;4;0;21;2;100;0;none;none;none;none;none;none
1.0;12;2;22;17;1;93;0;1;8;0;36;3;36;89;none;none;none;none;none;none
0.0;1;1;7;6;0;9;0;1;7;0;7;0;100;0;none;Feature Envy;none;none;none;none
1.0;9;3;7;0;1;99;3;1;15;0;45;3;171;84;none;none;none;none;none;none
0.0;7;5;8;14;1;127;0;1;15;0;40;2;188;72;none;Feature Envy;none;none;none;none
0.0;9;4;30;29;1;134;0;1;10;0;34;6;33;95;none;Feature Envy;none;none;none;none
1.0;1;3;23;24;1;314;0;1;24;0;37;1;104;90;none;Feature Envy;none;none;none;none
0.0;0;1;2;1;2;9;1;1;2;0;36;0;50;0;none;none;none;none;none;none
0.0;3;3;1;0;2;22;0;1;1;0;31;2;100;0;none;none;none;none;none;none
0.0;5;4;2;0;2;42;0;1;2;0;36;4;100;0;none;none;none;none;none;none
0.0;3;2;1;1;2;22;0;1;1;0;31;2;100;0;none;none;none;none;none;none
0.0;1;2;1;0;2;17;0;1;1;0;28;0;100;0;none;none;none;none;none;none
0.0;3;4;2;0;2;32;0;1;2;0;33;2;100;0;none;none;none;none;none;none
0.0;1;3;1;0;2;23;0;1;1;0;28;0;100;0;none;none;none;none;none;none
0.0;2;2;1;0;2;16;0;1;1;0;28;0;100;0;none;none;none;none;none;none
0.0;0;2;0;0;2;8;0;1;0;0;27;0;0;0;Refused Bequest;none;none;none;none;none
0.0;2;2;1;0;2;18;0;1;1;0;28;0;100;0;none;none;none;none;none;none
0.0;0;2;0;0;2;8;0;1;0;0;27;0;0;0;Refused Bequest;none;none;none;none;none
0.0;2;7;1;0;2;38;0;1;1;0;28;0;100;0;none;none;none;none;none;none
0.0;1;2;1;0;2;18;0;1;1;0;28;0;100;0;none;none;none;none;none;none
0.0;0;1;0;0;2;5;0;1;0;0;26;0;0;0;Refused Bequest;none;none;none;none;none
0.0;0;2;0;0;2;7;0;1;0;0;27;0;0;0;Refused Bequest;none;none;none;none;none
0.0;0;2;0;0;2;8;0;1;0;0;27;0;0;0;Refused Bequest;none;none;none;none;none
0.0;0;2;0;0;2;8;0;1;0;0;27;0;0;0;Refused Bequest;none;none;none;none;none
0.0;5;4;2;0;2;31;0;1;2;0;37;4;100;0;none;none;none;none;none;none
0.0;3;9;2;0;2;58;0;1;2;0;34;2;100;0;none;none;none;none;none;none
0.0;3;5;1;0;2;73;0;1;4;0;34;2;400;0;none;none;none;none;none;none
0.0;0;2;0;0;2;7;0;1;0;0;27;0;0;0;Refused Bequest;none;none;none;none;none
1.0;8;4;5;0;3;46;0;1;6;0;41;4;120;85;none;none;none;none;none;none
1.0;11;4;5;0;3;66;0;1;5;0;49;7;100;0;none;none;none;none;none;none
1.0;7;6;5;0;3;56;0;1;6;0;48;3;120;85;none;none;none;none;none;none
1.0;9;1;4;0;1;34;0;1;4;0;24;4;100;0;none;none;none;none;none;none
