Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;0;1;0;0;2;19;0;1;0;0;13;0;0;0;Refused Bequest;none;none;none;none;none
0.0;1;1;1;1;0;4;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;0;1;0;0;3;6;0;1;0;0;24;0;0;100;none;none;none;none;none;none
2.0;12;21;9;0;1;232;0;1;9;1;63;10;100;87;none;none;none;none;none;Shotgun Surgery
5.0;14;12;11;1;1;268;0;1;11;0;75;9;100;93;none;none;none;Large Class;none;none
0.0;5;8;0;0;0;100;0;1;2;0;13;2;2;56;none;none;none;none;none;none
1.0;1;1;2;0;1;81;0;1;4;0;4;0;200;91;none;none;none;none;none;none
1.0;1;1;6;0;1;194;0;1;4;0;15;0;67;75;none;none;none;none;none;none
0.0;0;2;1;0;1;98;0;1;0;0;11;0;0;43;none;none;none;none;none;none
0.0;5;6;0;0;0;280;0;2;3;0;21;1;3;75;none;none;none;none;none;none
0.0;0;1;30;1;1;122;15;1;30;0;41;0;50;93;none;none;none;none;none;none
0.0;3;_;0;0;0;44;0;1;0;0;0;0;0;33;none;none;none;none;none;none
0.0;0;_;0;0;0;23;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;0;11;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;0;1;1;1;0;9;0;1;2;0;2;0;200;0;none;none;none;none;none;none
0.0;0;1;0;0;0;7;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;0;_;0;0;0;9;0;1;0;0;0;0;0;0;none;none;none;none;none;none
0.0;0;1;1;2;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;1;4;0;3;46;0;1;6;0;28;1;150;0;none;none;none;none;none;none
1.0;5;3;4;1;1;70;0;1;5;0;25;1;125;25;none;none;none;none;none;none
0.0;0;1;2;1;1;8;0;1;1;0;12;0;50;100;none;none;none;none;none;none
0.0;1;1;1;0;0;4;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;4;6;3;1;1;87;0;1;5;0;30;1;167;66;none;none;none;none;none;none
0.0;2;1;1;1;0;4;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;4;5;4;0;1;56;0;1;4;0;24;0;100;62;none;none;none;none;none;none
0.0;12;4;30;0;0;397;1;2;37;0;56;1;120;94;none;none;none;none;none;none
0.0;0;1;2;0;1;9;1;1;2;0;13;0;50;0;none;none;none;none;none;none
0.0;2;4;11;0;0;159;0;1;17;0;22;0;155;92;none;none;none;none;none;none
