Access Of Foreign Data (AOFD);Coupling Between Objects (CBO);Cyclomatic Complexity (CC);Changing Classes (ChC);Changing Methods (CM);Depth Of Inheritance Hierarchy (DIT);Lines Of Code (LOC);Number of Accessor Methods (NAM);Number Of Child Classes (NOCC);Number Of Public Attributes (NOPA);Response For Class (RFC);Tight Class Cohesion (TCC);Weighted Chancging Methods (WCM);Weight Of a Class (WOC);Lack of Cohesion (LCOM);Refused Bequest Smell;Feature Envy Smell;Long Method Smell;Large Class Smell;Data Class Smell;Shotgun Surgery Smell
0.0;6;3;2;0;3;43;0;1;2;0;36;5;100;87;none;none;none;none;none;none
0.0;7;3;2;0;3;47;0;1;2;0;42;6;100;87;none;none;none;none;none;none
0.0;9;6;7;0;2;99;0;1;7;0;39;6;100;72;none;none;none;none;none;none
0.0;1;1;3;3;0;5;0;1;3;0;3;0;100;0;none;none;none;none;none;none
0.0;1;1;1;7;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;1;1;2;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;1;1;1;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;3;6;7;0;1;68;0;1;7;0;25;1;100;68;none;none;none;none;none;none
0.0;7;7;5;0;1;91;0;1;5;0;37;4;100;52;none;none;none;none;none;none
0.0;7;6;1;0;3;46;0;1;1;0;34;5;100;87;none;none;none;none;none;none
0.0;7;6;2;0;3;53;0;1;2;0;33;5;100;90;none;none;none;none;none;none
0.0;6;10;4;0;2;111;0;1;4;0;42;5;100;88;none;none;none;none;none;Shotgun Surgery
0.0;1;26;27;8;1;152;0;1;3;0;15;0;11;74;none;none;none;none;none;none
1.0;1;7;3;5;1;59;0;1;3;0;15;0;100;70;none;none;none;none;none;none
0.0;11;6;7;0;1;99;0;1;7;0;41;7;100;64;none;none;none;none;none;none
0.0;2;1;2;1;0;5;0;1;2;0;2;0;100;0;none;none;none;none;none;none
0.0;1;1;1;3;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;3;3;3;0;2;34;0;1;2;0;27;1;67;91;none;none;none;none;none;none
0.0;5;4;5;0;1;46;0;1;5;0;22;4;100;76;none;none;none;none;none;none
0.0;3;3;3;2;2;31;0;1;2;0;25;1;67;90;none;Feature Envy;none;none;none;none
0.0;8;4;2;0;1;47;0;1;2;0;28;4;100;50;none;none;none;none;none;none
0.0;3;5;5;0;1;54;0;1;5;0;25;1;100;35;none;none;none;none;none;none
0.0;5;5;7;0;2;61;0;1;6;0;32;2;86;81;none;none;none;none;none;none
0.0;3;1;4;0;2;30;0;1;2;0;25;2;50;90;none;none;none;none;none;none
0.0;3;3;4;0;2;45;0;1;3;0;27;1;75;94;Refused Bequest;none;none;none;none;none
0.0;5;4;5;0;1;47;0;1;5;0;22;4;100;76;none;none;none;none;none;none
0.0;3;3;5;3;2;45;0;1;4;0;30;2;80;88;none;Feature Envy;none;none;none;none
0.0;8;6;6;0;3;90;0;1;6;0;42;5;100;75;none;none;none;none;none;none
0.0;6;4;5;0;1;55;0;1;6;0;29;7;120;100;none;none;none;none;none;none
0.0;1;1;1;3;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;1;1;10;0;3;0;1;1;0;1;0;100;0;none;Feature Envy;none;none;none;none
0.0;1;1;1;5;0;3;0;1;1;0;1;0;100;0;none;none;none;none;none;none
0.0;1;1;1;0;0;3;0;1;1;0;2;0;100;0;none;none;none;none;none;none
